,B,C,D,E,F
1,data1-B1,data1-C1,data1-D1,data1-E1,data1-F1
2,data1-B2,data1-C2,data1-D2,data1-E2,data1-F2
3,data1-B3,data1-C3,data1-D3,data1-E3,data1-F3
4,data1-B4,data1-C4,data1-D4,data1-E4,data1-F4
5,data1-B5,data1-C5,data1-D5,data1-E5,data1-F5
6,data1-B6,data1-C6,data1-D6,data1-E6,data1-F6
7,data1-B7,data1-C7,data1-D7,data1-E7,data1-F7
8,data1-B8,data1-C8,data1-D8,data1-E8,data1-F8
9,data1-B9,data1-C9,data1-D9,data1-E9,data1-F9
10,data1-B10,data1-C10,data1-D10,data1-E10,data1-F10
11,data1-B11,data1-C11,data1-D11,data1-E11,data1-F11
12,data1-B12,data1-C12,data1-D12,data1-E12,data1-F12
13,data1-B13,data1-C13,data1-D13,data1-E13,data1-F13
14,data1-B14,data1-C14,data1-D14,data1-E14,data1-F14
15,data1-B15,data1-C15,data1-D15,data1-E15,data1-F15
16,data1-B16,data1-C16,data1-D16,data1-E16,data1-F16
17,data1-B17,data1-C17,data1-D17,data1-E17,data1-F17
18,data1-B18,data1-C18,data1-D18,data1-E18,data1-F18
19,data1-B19,data1-C19,data1-D19,data1-E19,data1-F19
20,data1-B20,data1-C20,data1-D20,data1-E20,‚±‚ñ‚É‚¿‚Í
