t,acc,,,,,,,,,,,,,,,,
0.00,-1.5,,,,,,,,,,,,,,,,
0.02,-0.7,,,,,,,,,,,,,,,,
0.04,0.9,,,,,,,,,,,,,,,,
0.06,1.7,,,,,,,,,,,,,,,,
0.08,0.9,,,,,,,,,,,,,,,,
0.10,1.7,,,,,,,,,,,,,,,,
0.12,2.3,,,,,,,,,,,,,,,,
0.14,3.0,,,,,,,,,,,,,,,,
0.16,3.3,,,,,,,,,,,,,,,,
0.18,3.0,,,,,,,,,,,,,,,,
0.20,2.7,,,,,,,,,,,,,,,,
0.22,2.0,,,,,,,,,,,,,,,,
0.24,-0.2,,,,,,,,,,,,,,,,
0.26,-2.6,,,,,,,,,,,,,,,,
0.28,-4.0,,,,,,,,,,,,,,,,
0.30,-5.6,,,,,,,,,,,,,,,,
0.32,-6.1,,,,,,,,,,,,,,,,
0.34,-6.0,,,,,,,,,,,,,,,,
0.36,-6.1,,,,,,,,,,,,,,,,
0.38,-5.8,,,,,,,,,,,,,,,,
0.40,-5.5,,,,,,,,,,,,,,,,
0.42,-5.2,,,,,,,,,,,,,,,,
0.44,-4.8,,,,,,,,,,,,,,,,
0.46,-4.6,,,,,,,,,,,,,,,,
0.48,-4.1,,,,,,,,,,,,,,,,
0.50,-3.1,,,,,,,,,,,,,,,,
0.52,-2.6,,,,,,,,,,,,,,,,
0.54,-4.1,,,,,,,,,,,,,,,,
0.56,-5.4,,,,,,,,,,,,,,,,
0.58,-5.6,,,,,,,,,,,,,,,,
0.60,-3.9,,,,,,,,,,,,,,,,
0.62,-1.3,,,,,,,,,,,,,,,,
0.64,0.4,,,,,,,,,,,,,,,,
0.66,1.6,,,,,,,,,,,,,,,,
0.68,2.4,,,,,,,,,,,,,,,,
0.70,2.5,,,,,,,,,,,,,,,,
0.72,3.4,,,,,,,,,,,,,,,,
0.74,5.2,,,,,,,,,,,,,,,,
0.76,6.3,,,,,,,,,,,,,,,,
0.78,5.6,,,,,,,,,,,,,,,,
0.80,3.7,,,,,,,,,,,,,,,,
0.82,1.5,,,,,,,,,,,,,,,,
0.84,-1.2,,,,,,,,,,,,,,,,
0.86,-2.6,,,,,,,,,,,,,,,,
0.88,-2.9,,,,,,,,,,,,,,,,
0.90,-2.4,,,,,,,,,,,,,,,,
0.92,-1.3,,,,,,,,,,,,,,,,
0.94,0.3,,,,,,,,,,,,,,,,
0.96,1.5,,,,,,,,,,,,,,,,
0.98,1.5,,,,,,,,,,,,,,,,
1.00,2.1,,,,,,,,,,,,,,,,
1.02,2.9,,,,,,,,,,,,,,,,
1.04,1.3,,,,,,,,,,,,,,,,
1.06,-0.8,,,,,,,,,,,,,,,,
1.08,-1.7,,,,,,,,,,,,,,,,
1.10,-0.9,,,,,,,,,,,,,,,,
1.12,-0.5,,,,,,,,,,,,,,,,
1.14,0.2,,,,,,,,,,,,,,,,
1.16,0.7,,,,,,,,,,,,,,,,
1.18,0.3,,,,,,,,,,,,,,,,
1.20,-0.3,,,,,,,,,,,,,,,,
1.22,-1.0,,,,,,,,,,,,,,,,
1.24,-1.3,,,,,,,,,,,,,,,,
1.26,-2.2,,,,,,,,,,,,,,,,
1.28,-4.1,,,,,,,,,,,,,,,,
1.30,-5.3,,,,,,,,,,,,,,,,
1.32,-4.4,,,,,,,,,,,,,,,,
1.34,-3.6,,,,,,,,,,,,,,,,
1.36,-3.2,,,,,,,,,,,,,,,,
1.38,-2.4,,,,,,,,,,,,,,,,
1.40,-0.2,,,,,,,,,,,,,,,,
1.42,3.3,,,,,,,,,,,,,,,,
1.44,3.5,,,,,,,,,,,,,,,,
1.46,2.3,,,,,,,,,,,,,,,,
1.48,0.6,,,,,,,,,,,,,,,,
1.50,-0.2,,,,,,,,,,,,,,,,
1.52,0.0,,,,,,,,,,,,,,,,
1.54,0.7,,,,,,,,,,,,,,,,
1.56,1.5,,,,,,,,,,,,,,,,
1.58,1.7,,,,,,,,,,,,,,,,
1.60,1.7,,,,,,,,,,,,,,,,
1.62,2.6,,,,,,,,,,,,,,,,
1.64,3.7,,,,,,,,,,,,,,,,
1.66,4.6,,,,,,,,,,,,,,,,
1.68,7.2,,,,,,,,,,,,,,,,
1.70,8.8,,,,,,,,,,,,,,,,
1.72,8.4,,,,,,,,,,,,,,,,
1.74,7.7,,,,,,,,,,,,,,,,
1.76,6.6,,,,,,,,,,,,,,,,
1.78,4.2,,,,,,,,,,,,,,,,
1.80,4.2,,,,,,,,,,,,,,,,
1.82,5.5,,,,,,,,,,,,,,,,
1.84,7.4,,,,,,,,,,,,,,,,
1.86,6.5,,,,,,,,,,,,,,,,
1.88,4.3,,,,,,,,,,,,,,,,
1.90,2.0,,,,,,,,,,,,,,,,
1.92,1.9,,,,,,,,,,,,,,,,
1.94,2.4,,,,,,,,,,,,,,,,
1.96,2.8,,,,,,,,,,,,,,,,
1.98,4.8,,,,,,,,,,,,,,,,
2.00,5.8,,,,,,,,,,,,,,,,
2.02,7.3,,,,,,,,,,,,,,,,
2.04,8.5,,,,,,,,,,,,,,,,
2.06,6.1,,,,,,,,,,,,,,,,
2.08,2.9,,,,,,,,,,,,,,,,
2.10,0.2,,,,,,,,,,,,,,,,
2.12,-0.6,,,,,,,,,,,,,,,,
2.14,-1.3,,,,,,,,,,,,,,,,
2.16,-2.3,,,,,,,,,,,,,,,,
2.18,-2.2,,,,,,,,,,,,,,,,
2.20,-1.7,,,,,,,,,,,,,,,,
2.22,-1.3,,,,,,,,,,,,,,,,
2.24,-2.6,,,,,,,,,,,,,,,,
2.26,-5.2,,,,,,,,,,,,,,,,
2.28,-9.2,,,,,,,,,,,,,,,,
2.30,-11.1,,,,,,,,,,,,,,,,
2.32,-9.8,,,,,,,,,,,,,,,,
2.34,-7.7,,,,,,,,,,,,,,,,
2.36,-3.5,,,,,,,,,,,,,,,,
2.38,-0.3,,,,,,,,,,,,,,,,
2.40,0.1,,,,,,,,,,,,,,,,
2.42,0.3,,,,,,,,,,,,,,,,
2.44,1.4,,,,,,,,,,,,,,,,
2.46,2.6,,,,,,,,,,,,,,,,
2.48,7.5,,,,,,,,,,,,,,,,
2.50,10.1,,,,,,,,,,,,,,,,
2.52,10.3,,,,,,,,,,,,,,,,
2.54,8.8,,,,,,,,,,,,,,,,
2.56,8.7,,,,,,,,,,,,,,,,
2.58,8.7,,,,,,,,,,,,,,,,
2.60,8.2,,,,,,,,,,,,,,,,
2.62,7.6,,,,,,,,,,,,,,,,
