t,mu,totalMu,totalDamage,
0,0,0,0,
0.02,-0.01875,0.01875,6.4373016357421874E-09,
0.04,-0.00875,0.028749999999999998,7.413864135742187E-09,
0.06,0.01125,0.04875,3.2804489135742186E-08,
0.08,0.02125,0.05875,6.89373016357422E-08,
0.1,0.01125,0.06875,6.99138641357422E-08,
0.12,0.02125,0.07875,7.08904266357422E-08,
0.14,0.02875,0.08625000000000001,1.1305046081542968E-07,
0.16,0.0375,0.095,1.821975708007812E-07,
0.18,0.04125,0.09875,2.1932792663574215E-07,
0.2,0.0375,0.10250000000000001,2.193794250488281E-07,
0.22,0.03375,0.10625000000000001,2.1973991394042964E-07,
0.24,0.025,0.115,2.2351837158203122E-07,
0.26,-0.0025,0.14250000000000002,3.0110549926757814E-07,
0.28,-0.0325,0.17250000000000001,6.110572814941407E-07,
0.3,-0.05,0.19,9.613189697265623E-07,
0.32,-0.07,0.21000000000000002,1.563949584960938E-06,
0.34,-0.07625,0.21625,1.8035411834716792E-06,
0.36,-0.075,0.2175,1.803543090820312E-06,
0.38,-0.07625,0.21875,1.8035449981689449E-06,
0.4,-0.0725,0.2225,1.8035964965820308E-06,
0.42,-0.06875,0.22625,1.8039569854736324E-06,
0.44,-0.065,0.22999999999999998,1.8049354553222652E-06,
0.46,-0.06,0.235,1.807735443115234E-06,
0.48,-0.0575,0.2375,1.8099822998046871E-06,
0.5,-0.05125,0.24375,1.818803787231445E-06,
0.52,-0.03875,0.25625,1.8550434112548824E-06,
0.54,-0.0325,0.2625,1.8853225708007808E-06,
0.56,-0.05125,0.28125,1.891759872436523E-06,
0.58,-0.0675,0.2975,1.9271926879882806E-06,
0.6,-0.07,0.3,1.9368209838867184E-06,
0.62,-0.04875,0.32125000000000004,1.946191787719726E-06,
0.64,-0.01625,0.35375,2.11747932434082E-06,
0.66,0.005,0.375,2.430347442626953E-06,
0.68,0.02,0.39,2.777309417724609E-06,
0.7,0.03,0.4,3.0778923034667964E-06,
0.72,0.03125,0.40125,3.1197223663330076E-06,
0.74,0.0425,0.4125,3.541854858398437E-06,
0.76,0.065,0.435,4.658649444580076E-06,
0.78,0.07875,0.44875000000000004,5.543138504028321E-06,
