DOI_Link,CrossRef_Link,PDF_Link,Private_Favorite,DataFrom_Manual,DOI,ReferenceDOIs,UnstructuredRefString,PrintISSN,OnlineISSN,ArticleTitle_CR,Authors_CR,PublishedDate_CR,ArticleTitle_English_JS,ArticleTitle_Japanese_JS,Link_English_JS,Link_Japanese_JS,Authors_English_JS,Authors_Japanese_JS,JournalCode_JS,MaterialTitle_English_JS,MaterialTitle_Japanese_JS,Volume_JS,SubVolume_JS,Number_JS,StartingPage_JS,EndingPage_JS,PublishedYear_JS,JOI_JS,SystemCode_JS,SystemName_JS,Title_JS,Link_JS,Id_JS,UpdatedOn_JS
https://dx.doi.org/10.3130/aijs.87.1,https://api.crossref.org/v1/works/10.3130/aijs.87.1,,,,10.3130/aijs.87.1,,,1340-4202,1881-8153,,,,STUDY ON THE EFFECT OF GROUND GRANULATED BLAST FURNACE SLAG ON SUPPRESSION EFFECT OF HEXAVALENT CHROMIUM ELUTION FROM CEMENT HARDENED,セメント硬化体の六価クロム溶出抑制効果に及ぼす高炉スラグ微粉末の影響に関する研究,https://www.jstage.jst.go.jp/article/aijs/87/791/87_1/_article,https://www.jstage.jst.go.jp/article/aijs/87/791/87_1/_article/-char/ja/,"[""Hikaru FUMINO"",""Junho KIM"",""Yuhei NISHIO"",""Manabu KANEMATSU""]","[""文野 光"",""金 準鎬"",""西尾 悠平"",""兼松 学""]",aijs,Journal of Structural and Construction Engineering (Transactions of AIJ),日本建築学会構造系論文集,87,,791,1,8,2022,,1,J-STAGE,セメント硬化体の六価クロム溶出抑制効果に及ぼす高炉スラグ微粉末の影響に関する研究,,https://www.jstage.jst.go.jp/article/aijs/87/791/87_1/_article/-char/ja/,2022-01-01T09:00+09:00
https://dx.doi.org/10.3130/aijs.87.104,https://api.crossref.org/v1/works/10.3130/aijs.87.104,,,,10.3130/aijs.87.104,,,1340-4202,1881-8153,,,,CREEP BEHAVIOR AT HIGH TEMPERATURE OF HYBRID REBAR-GLULAM TIMBER BEAM UNDER LONG-TERM LOADING,高温環境における鉄筋集成材梁のクリープたわみに関する実験的研究,https://www.jstage.jst.go.jp/article/aijs/87/791/87_104/_article,https://www.jstage.jst.go.jp/article/aijs/87/791/87_104/_article/-char/ja/,"[""Nao MATSUOKA"",""Shinichi SHIOYA""]","[""松岡 直"",""塩屋 晋一""]",aijs,Journal of Structural and Construction Engineering (Transactions of AIJ),日本建築学会構造系論文集,87,,791,104,115,2022,,1,J-STAGE,高温環境における鉄筋集成材梁のクリープたわみに関する実験的研究,,https://www.jstage.jst.go.jp/article/aijs/87/791/87_104/_article/-char/ja/,2022-01-01T09:00+09:00
https://dx.doi.org/10.3130/aijs.87.116,https://api.crossref.org/v1/works/10.3130/aijs.87.116,,,,10.3130/aijs.87.116,,,1340-4202,1881-8153,,,,STUDY ON ASSURANCE DESIGN METHOD OF CONNECTIONS AT THE BOTTOM OF COLUMNS IN WOODEN WALL STRUCTURE (PART 1): PROPOSAL OF DESIGN FLOW FOR CONNECTIONS AND EXPERIMENTAL AND ANALYTICAL STUDY ON THE MODELING OF VERTICAL STRUCTURAL PLANE,木造耐力壁構造の柱脚接合部の保証設計法に関する研究（その１）：接合部設計フローの提案と鉛直構面のモデル化に関する実験的・解析的検証,https://www.jstage.jst.go.jp/article/aijs/87/791/87_116/_article,https://www.jstage.jst.go.jp/article/aijs/87/791/87_116/_article/-char/ja/,"[""Taro NAKA"",""Ryuki ODANI"",""Kenji AOKI"",""Masahiro INAYAMA""]","[""中 太郎"",""小谷 竜城"",""青木 謙治"",""稲山 正弘""]",aijs,Journal of Structural and Construction Engineering (Transactions of AIJ),日本建築学会構造系論文集,87,,791,116,127,2022,,1,J-STAGE,木造耐力壁構造の柱脚接合部の保証設計法に関する研究（その１）：接合部設計フローの提案と鉛直構面のモデル化に関する実験的・解析的検証,,https://www.jstage.jst.go.jp/article/aijs/87/791/87_116/_article/-char/ja/,2022-01-01T09:00+09:00
https://dx.doi.org/10.3130/aijs.87.128,https://api.crossref.org/v1/works/10.3130/aijs.87.128,,,,10.3130/aijs.87.128,,,1340-4202,1881-8153,,,,EFFECTS OF CONVENTIONAL AND DAMAGE CONTROL FLAT WALLS ON THE SEISMIC PERFORMANCE OF HIGH RISE RC BUILDINGS,従来型および損傷抑制型の方立壁が高層RC建築の耐震性能に与える影響,https://www.jstage.jst.go.jp/article/aijs/87/791/87_128/_article,https://www.jstage.jst.go.jp/article/aijs/87/791/87_128/_article/-char/ja/,"[""Keito MATSUO"",""Yasushi SANADA"",""Rokhyun YOON""]","[""松尾 啓斗"",""真田 靖士"",""尹 ロク現""]",aijs,Journal of Structural and Construction Engineering (Transactions of AIJ),日本建築学会構造系論文集,87,,791,128,138,2022,,1,J-STAGE,従来型および損傷抑制型の方立壁が高層RC建築の耐震性能に与える影響,,https://www.jstage.jst.go.jp/article/aijs/87/791/87_128/_article/-char/ja/,2022-01-01T09:00+09:00
https://dx.doi.org/10.3130/aijs.87.139,https://api.crossref.org/v1/works/10.3130/aijs.87.139,,,,10.3130/aijs.87.139,,,1340-4202,1881-8153,,,,STRENGTH AND BEHAVIOR OF ELASTIC DISTORTIONAL BUCKLING FOR COLD-FORMED CHANNEL MEMBER UNDER COMPRESSION,圧縮力が作用する冷間成形溝形断面部材の弾性ゆがみ座屈耐力と座屈挙動,https://www.jstage.jst.go.jp/article/aijs/87/791/87_139/_article,https://www.jstage.jst.go.jp/article/aijs/87/791/87_139/_article/-char/ja/,"[""Kazuya MITSUI"",""Kikuo IKARASHI"",""Tomoki KOBASHI"",""Ryohei KUWADA""]","[""三井 和也"",""五十嵐 規矩夫"",""小橋 知季"",""桑田 涼平""]",aijs,Journal of Structural and Construction Engineering (Transactions of AIJ),日本建築学会構造系論文集,87,,791,139,148,2022,,1,J-STAGE,圧縮力が作用する冷間成形溝形断面部材の弾性ゆがみ座屈耐力と座屈挙動,,https://www.jstage.jst.go.jp/article/aijs/87/791/87_139/_article/-char/ja/,2022-01-01T09:00+09:00
https://dx.doi.org/10.3130/aijs.87.149,https://api.crossref.org/v1/works/10.3130/aijs.87.149,,,,10.3130/aijs.87.149,,,1340-4202,1881-8153,,,,NON-LINEAR DYNAMIC RESPONSE CHARACTERISTIC OF SINGLE-DAMPED OUTRIGGER SYSTEMS WITH OIL DAMPERS OR ELASTO-PLASTIC DAMPERS CONSIDERING DESIGN EARTHQUAKE LEVELS,地震動入力レベルを考慮したダンパー付単層アウトリガー構造の非線形動的応答特性,https://www.jstage.jst.go.jp/article/aijs/87/791/87_149/_article,https://www.jstage.jst.go.jp/article/aijs/87/791/87_149/_article/-char/ja/,"[""Yuki TERAZAWA"",""Yoji ISHIBASHI"",""Hiroki OMURA"",""Tomoki ASAI"",""Toru TAKEUCHI""]","[""寺澤 友貴"",""石橋 洋二"",""大村 広輝"",""浅井 智樹"",""竹内 徹""]",aijs,Journal of Structural and Construction Engineering (Transactions of AIJ),日本建築学会構造系論文集,87,,791,149,160,2022,,1,J-STAGE,地震動入力レベルを考慮したダンパー付単層アウトリガー構造の非線形動的応答特性,,https://www.jstage.jst.go.jp/article/aijs/87/791/87_149/_article/-char/ja/,2022-01-01T09:00+09:00
https://dx.doi.org/10.3130/aijs.87.161,https://api.crossref.org/v1/works/10.3130/aijs.87.161,,,,10.3130/aijs.87.161,,,1340-4202,1881-8153,,,,EQUATION DISCOVERY FOR SKELTON CURVE OF STEEL BEAM USING NUMERICAL ANALYSIS RESULTS,数値解析結果に基づく鋼梁の骨格曲線算定式の導出,https://www.jstage.jst.go.jp/article/aijs/87/791/87_161/_article,https://www.jstage.jst.go.jp/article/aijs/87/791/87_161/_article/-char/ja/,"[""Takuya SUZUKI""]","[""鈴木 琢也""]",aijs,Journal of Structural and Construction Engineering (Transactions of AIJ),日本建築学会構造系論文集,87,,791,161,170,2022,,1,J-STAGE,数値解析結果に基づく鋼梁の骨格曲線算定式の導出,,https://www.jstage.jst.go.jp/article/aijs/87/791/87_161/_article/-char/ja/,2022-01-01T09:00+09:00
https://dx.doi.org/10.3130/aijs.87.20,https://api.crossref.org/v1/works/10.3130/aijs.87.20,,,,10.3130/aijs.87.20,,,1340-4202,1881-8153,,,,CLEARANCE ADJUSTMENT CONSTRUCTION FOR CORE PLATE AND RESTRAINING PART OF THE BUCKLING-RESTRAINED BRACE USING STEEL MORTAR PLANKS,鋼モルタル板を用いた座屈拘束ブレースにおける芯材と拘束材のクリアランス調整工法に関する研究,https://www.jstage.jst.go.jp/article/aijs/87/791/87_20/_article,https://www.jstage.jst.go.jp/article/aijs/87/791/87_20/_article/-char/ja/,"[""Makoto NAKAMURA"",""Masanori FUJITA"",""Mamoru IWATA""]","[""中村 慎"",""藤田 正則"",""岩田 衛""]",aijs,Journal of Structural and Construction Engineering (Transactions of AIJ),日本建築学会構造系論文集,87,,791,20,30,2022,,1,J-STAGE,鋼モルタル板を用いた座屈拘束ブレースにおける芯材と拘束材のクリアランス調整工法に関する研究,,https://www.jstage.jst.go.jp/article/aijs/87/791/87_20/_article/-char/ja/,2022-01-01T09:00+09:00
https://dx.doi.org/10.3130/aijs.87.31,https://api.crossref.org/v1/works/10.3130/aijs.87.31,,,,10.3130/aijs.87.31,,,1340-4202,1881-8153,,,,STANDARD TEST METHOD OF WRINKLE DURABILITY OF FLOOR COVERING AGAINST DYNAMIC LOAD,動荷重に対する張り床の耐ふくれ性の標準的な試験方法,https://www.jstage.jst.go.jp/article/aijs/87/791/87_31/_article,https://www.jstage.jst.go.jp/article/aijs/87/791/87_31/_article/-char/ja/,"[""Yutaro FUJII"",""Takuma HAYASHI"",""Shintaro FUKUDA"",""Yutaka YOKOYAMA""]","[""藤井 佑太朗"",""林 拓真"",""福田 眞太郎"",""横山 裕""]",aijs,Journal of Structural and Construction Engineering (Transactions of AIJ),日本建築学会構造系論文集,87,,791,31,41,2022,,1,J-STAGE,動荷重に対する張り床の耐ふくれ性の標準的な試験方法,,https://www.jstage.jst.go.jp/article/aijs/87/791/87_31/_article/-char/ja/,2022-01-01T09:00+09:00
https://dx.doi.org/10.3130/aijs.87.42,https://api.crossref.org/v1/works/10.3130/aijs.87.42,,,,10.3130/aijs.87.42,,,1340-4202,1881-8153,,,,INITIAL STIFFNESS ESTIMATION MODEL FOR WOODEN HOUSE CONSIDERING NON-STRUCTURAL ELEMENTS USING DESIGN INFORMATION AND MICRO-TREMOR MEASUREMENT,木造住宅の設計情報及び微動計測を用いた非構造要素を考慮した初期層剛性の推定モデルの構築,https://www.jstage.jst.go.jp/article/aijs/87/791/87_42/_article,https://www.jstage.jst.go.jp/article/aijs/87/791/87_42/_article/-char/ja/,"[""Takuro HABARA"",""Takahiro SADA"",""Kazuki KISHIMOTO"",""Shinta YOSHITOMI""]","[""羽原 琢朗"",""佐田 貴浩"",""岸本 和貴"",""吉富 信太""]",aijs,Journal of Structural and Construction Engineering (Transactions of AIJ),日本建築学会構造系論文集,87,,791,42,48,2022,,1,J-STAGE,木造住宅の設計情報及び微動計測を用いた非構造要素を考慮した初期層剛性の推定モデルの構築,,https://www.jstage.jst.go.jp/article/aijs/87/791/87_42/_article/-char/ja/,2022-01-01T09:00+09:00
