t [s],v [É m/sec]
0,-8.335
0.01,-5.594
0.02,-3.076
0.03,-1.177
0.04,0.248
0.05,1.7
0.06,2.821
0.07,3.803
0.08,4.107
0.09,4.581
0.1,4.49
0.11,4.071
0.12,3.566
0.13,3.095
0.14,2.326
0.15,1.993
0.16,1.977
0.17,2.545
0.18,3.194
0.19,4.208
0.2,4.985
0.21,5.234
0.22,5.096
0.23,4.963
0.24,5.017
0.25,5.478
0.26,6.209
0.27,7.107
0.28,8.252
0.29,9.307
0.3,9.791
0.31,10.063
0.32,10.305
0.33,10.507
0.34,9.835
0.35,8.998
0.36,8.072
0.37,6.552
0.38,4.852
0.39,3.616
0.4,2.506
0.41,1.69
0.42,0.367
0.43,-1.274
0.44,-3.426
0.45,-5.881
0.46,-7.996
0.47,-10.429
0.48,-12.698
0.49,-14.232
0.5,-14.695
0.51,-14.631
0.52,-13.879
0.53,-12.289
0.54,-9.948
0.55,-7.077
0.56,-3.648
0.57,0.149
0.58,4.259
0.59,8.523
0.6,12.285
0.61,15.654
0.62,18.492
0.63,20.962
0.64,23.067
0.65,24.221
0.66,24.229
0.67,23.886
0.68,23.282
0.69,22.042
0.7,20.235
0.71,17.35
0.72,13.243
0.73,8.623
0.74,3.753
0.75,-1.152
0.76,-5.79
0.77,-10.818
0.78,-15.813
0.79,-20.036
0.8,-22.791
0.81,-24.273
0.82,-24.435
0.83,-23.691
0.84,-22.156
0.85,-20.029
0.86,-17.458
0.87,-14.462
0.88,-10.463
0.89,-6.454
0.9,-1.379
0.91,4.078
0.92,9.502
0.93,14.622
0.94,19.249
0.95,23.031
0.96,25.605
0.97,27.05
0.98,27.004
0.99,26.08
1,24.604
1.01,22.149
1.02,18.601
1.03,14.518
1.04,10.066
1.05,5.237
1.06,-0.406
1.07,-5.796
1.08,-10.235
1.09,-14.318
1.1,-17.668
1.11,-20.629
1.12,-22.016
1.13,-22.587
1.14,-22.751
1.15,-22.854
1.16,-21.854
1.17,-19.259
1.18,-16.067
1.19,-12.74
1.2,-9.604
1.21,-5.33
1.22,-0.293
1.23,4.561
1.24,8.649
1.25,11.926
1.26,14.484
1.27,15.754
1.28,16.5
1.29,16.832
1.3,15.566
1.31,12.849
1.32,9.192
1.33,4.908
1.34,0.107
1.35,-4.46
1.36,-9.015
1.37,-13.235
1.38,-17.255
1.39,-20.323
1.4,-22.206
1.41,-22.483
1.42,-21.805
1.43,-19.965
1.44,-17.736
1.45,-14.496
1.46,-10.001
1.47,-4.873
1.48,0.703
1.49,5.465
1.5,9.113
1.51,12.292
1.52,15.637
1.53,18.832
1.54,20.607
1.55,21.394
1.56,20.63
1.57,18.735
1.58,15.302
1.59,10.893
1.6,6.141
1.61,0.793
1.62,-5.432
1.63,-12.098
1.64,-18.887
1.65,-24.9
1.66,-30.031
1.67,-33.575
1.68,-36.149
1.69,-37.34
1.7,-37.673
1.71,-36.152
1.72,-32.309
1.73,-26.685
1.74,-19.447
1.75,-11.755
1.76,-3.854
1.77,4.652
1.78,13.111
1.79,21.234
1.8,29.069
1.81,36.237
1.82,41.398
1.83,44.98
1.84,46.997
1.85,47.254
1.86,45.302
1.87,41.744
1.88,36.778
1.89,30.532
1.9,22.798
1.91,14.565
1.92,5.935
1.93,-2.625
1.94,-10.794
1.95,-17.987
1.96,-24.327
1.97,-29.482
1.98,-32.965
1.99,-34.829
2,-35.269
2.01,-34.222
2.02,-31.702
2.03,-28.507
2.04,-23.779
2.05,-17.528
2.06,-11.047
2.07,-4.518
2.08,2.183
2.09,8.743
2.1,15.071
2.11,20.556
2.12,24.728
2.13,27.877
2.14,29.646
2.15,30.163
2.16,29.554
2.17,27.734
2.18,24.857
2.19,21.141
2.2,16.367
2.21,11.419
2.22,5.844
2.23,0.567
2.24,-4.773
2.25,-10.179
2.26,-14.758
2.27,-17.867
2.28,-20.277
2.29,-21.911
2.3,-22.711
2.31,-23.148
2.32,-22.657
2.33,-21.249
2.34,-18.193
2.35,-14.155
2.36,-9.284
2.37,-3.501
2.38,2.225
2.39,7.102
2.4,11.852
2.41,16.081
2.42,19.168
2.43,21.454
2.44,23.02
2.45,24.136
2.46,24.192
2.47,23.279
2.48,21.444
2.49,18.683
2.5,15.858
2.51,12.551
2.52,8.255
2.53,3.257
2.54,-1.879
2.55,-6.82
2.56,-10.484
2.57,-13.106
2.58,-15.16
2.59,-16.98
2.6,-18.285
2.61,-19.257
2.62,-20.019
2.63,-20.187
2.64,-19.322
2.65,-17.4
2.66,-14.809
2.67,-11.959
2.68,-8.652
2.69,-5.692
2.7,-2.264
2.71,0.911
2.72,3.887
2.73,7.11
2.74,9.559
2.75,11.502
2.76,12.372
2.77,11.889
2.78,11.241
2.79,10.188
2.8,8.646
2.81,6.719
2.82,4.36
2.83,1.63
2.84,-0.763
2.85,-3.236
2.86,-5.662
2.87,-8.203
2.88,-9.857
2.89,-10.964
2.9,-11.275
2.91,-10.131
2.92,-8.363
2.93,-6.708
2.94,-5.173
2.95,-2.823
2.96,-0.159
2.97,3.027
2.98,6.336
2.99,9.437
3,11.64
3.01,13.205
3.02,14.864
3.03,16.551
3.04,17.385
3.05,17.444
3.06,15.716
3.07,12.177
3.08,7.042
3.09,1.085
3.1,-4.746
3.11,-10.911
3.12,-17.357
3.13,-22.899
3.14,-27.802
3.15,-31.197
3.16,-33.466
3.17,-34.486
3.18,-33.935
3.19,-31.975
3.2,-28.54
3.21,-23.419
3.22,-17.201
3.23,-10.177
3.24,-2.932
3.25,4.775
3.26,12.932
3.27,20.739
3.28,27.812
3.29,33.913
3.3,38.75
3.31,42.504
