,B,C,D,E,F
1,data3-B1,data3-C1,data3-D1,data3-E1,data3-F1
2,data3-B2,data3-C2,data3-D2,data3-E2,data3-F2
3,data3-B3,data3-C3,data3-D3,data3-E3,data3-F3
4,data3-B4,data3-C4,data3-D4,data3-E4,data3-F4
5,data3-B5,data3-C5,data3-D5,data3-E5,data3-F5
6,data3-B6,data3-C6,data3-D6,data3-E6,data3-F6
7,data3-B7,data3-C7,data3-D7,data3-E7,data3-F7
8,data3-B8,data3-C8,data3-D8,data3-E8,data3-F8
9,data3-B9,data3-C9,data3-D9,data3-E9,data3-F9
10,data3-B10,data3-C10,data3-D10,data3-E10,data3-F10
11,data3-B11,data3-C11,data3-D11,data3-E11,data3-F11
12,data3-B12,data3-C12,data3-D12,data3-E12,data3-F12
13,data3-B13,data3-C13,data3-D13,data3-E13,data3-F13
14,data3-B14,data3-C14,data3-D14,data3-E14,data3-F14
15,data3-B15,data3-C15,data3-D15,data3-E15,data3-F15
16,data3-B16,data3-C16,data3-D16,data3-E16,data3-F16
17,data3-B17,data3-C17,data3-D17,data3-E17,data3-F17
18,data3-B18,data3-C18,data3-D18,data3-E18,data3-F18
19,data3-B19,data3-C19,data3-D19,data3-E19,data3-F19
20,data3-B20,data3-C20,data3-D20,data3-E20,data3-F20
