t,v
0,23921.223
0.01,23175.082
0.02,21254.351
0.03,18425.701
0.04,14953.608
0.05,11107.341
0.06,7106.248
0.07,3087.159
0.08,-824.91
0.09,-4555.162
0.1,-8043.525
0.11,-11296.283
0.12,-14290.899
0.13,-16957.074
0.14,-19179.931
0.15,-20791.664
0.16,-21578.757
0.17,-21402.565
0.18,-20231.005
0.19,-18112.913
0.2,-15184.711
0.21,-11637.313
0.22,-7701.779
0.23,-3589.801
0.24,507.708
0.25,4360.359
0.26,7803.232
0.27,10769.163
0.28,13204.051
0.29,15113.601
0.3,16543.352
0.31,17494.3
0.32,17915.866
0.33,17750.041
0.34,16952.607
0.35,15477.179
0.36,13383.296
0.37,10757.825
0.38,7702.854
0.39,4336.945
0.4,852.234
0.41,-2570.909
0.42,-5735.598
0.43,-8486.043
0.44,-10756.781
0.45,-12490.465
0.46,-13679.093
0.47,-14320.331
0.48,-14416.196
0.49,-14029.352
0.5,-13198.005
0.51,-11975.002
0.52,-10441.863
0.53,-8610.852
0.54,-6512.461
0.55,-4193.616
0.56,-1726.745
0.57,780.079
0.58,3257.771
0.59,5613.377
0.6,7709.987
0.61,9419.358
0.62,10635.264
0.63,11316.385
0.64,11463.312
0.65,11113.679
0.66,10328.008
0.67,9203.77
0.68,7829.734
0.69,6309.563
0.7,4735.848
0.71,3151.486
0.72,1550.713
0.73,-52.074
0.74,-1652.656
0.75,-3211.423
0.76,-4695.357
0.77,-6051.271
0.78,-7161.622
0.79,-7947.852
0.8,-8362.245
0.81,-8365.476
0.82,-7961.838
0.83,-7184.931
0.84,-6131.8
0.85,-4879.308
0.86,-3542.186
0.87,-2227.359
0.88,-989.258
0.89,135.127
0.9,1156.682
0.91,2077.803
0.92,2931.832
0.93,3732.75
0.94,4453.684
0.95,5048.109
0.96,5453.446
0.97,5621.266
0.98,5504.669
0.99,5105.884
1,4458.427
1.01,3613.133
1.02,2652.281
1.03,1659.997
1.04,702.435
1.05,-181.031
1.06,-962.736
1.07,-1625.459
1.08,-2151.716
1.09,-2570.943
1.1,-2929.419
1.11,-3244.684
1.12,-3480.515
1.13,-3563.133
1.14,-3488.358
1.15,-3262.16
1.16,-2868.99
1.17,-2342.317
1.18,-1734.463
1.19,-1071.441
1.2,-420.486
1.21,179.194
1.22,704.357
1.23,1139.804
1.24,1482.761
1.25,1745.962
1.26,1944.035
1.27,2075.934
1.28,2127.739
1.29,2075.344
1.3,1900.426
1.31,1664.799
1.32,1360.688
1.33,1009.668
1.34,615.841
1.35,204.481
1.36,-195.558
1.37,-522.781
1.38,-763.693
1.39,-897.825
1.4,-953.41
1.41,-965.452
1.42,-967.26
1.43,-957.529
1.44,-942.826
1.45,-884.774
1.46,-802.901
1.47,-654.896
1.48,-435.553
1.49,-175.54
1.5,115.2
1.51,407.148
1.52,656.894
1.53,818.871
1.54,868.908
1.55,794.327
1.56,635.078
1.57,420.012
1.58,186.89
1.59,-36.274
1.6,-218.182
1.61,-322.238
1.62,-369.399
1.63,-396.153
1.64,-419.851
1.65,-438.379
1.66,-475.077
1.67,-540.614
1.68,-590.108
1.69,-607.947
1.7,-575.285
1.71,-470.376
1.72,-286.069
1.73,-63.382
1.74,190.6
1.75,464.873
1.76,724.133
1.77,923.449
1.78,1050.676
1.79,1106.436
1.8,1100.72
1.81,1055.316
1.82,981.598
1.83,865.364
1.84,689.95
1.85,480.289
1.86,233.016
1.87,-31.31
1.88,-278.844
1.89,-498.276
1.9,-724.459
1.91,-956.545
1.92,-1141.78
1.93,-1269.429
1.94,-1345.105
1.95,-1374.654
1.96,-1370.048
1.97,-1325.598
1.98,-1229.51
1.99,-1055.937
