t,mu,totalDamage
0,0,0
0.02,-0.01875,3.2958984374999995E-09
0.04,-0.00875,3.795898437499999E-09
0.06,0.01125,1.67958984375E-08
0.08,0.02125,3.52958984375E-08
0.1,0.01125,3.57958984375E-08
0.12,0.02125,3.62958984375E-08
0.14,0.02875,5.788183593749999E-08
0.16,0.0375,9.328515624999999E-08
0.18,0.04125,1.122958984375E-07
0.2,0.0375,1.12322265625E-07
0.22,0.03375,1.125068359375E-07
0.24,0.025,1.1444140625E-07
0.26,-0.0025,1.54166015625E-07
0.28,-0.0325,3.128613281250001E-07
0.3,-0.05,4.921953125E-07
0.32,-0.07,8.007421875000003E-07
0.34,-0.07625,9.234130859375E-07
0.36,-0.075,9.234140625000001E-07
0.38,-0.07625,9.234150390625001E-07
0.4,-0.0725,9.234414062500001E-07
0.42,-0.06875,9.236259765625001E-07
0.44,-0.065,9.241269531250001E-07
0.46,-0.06,9.255605468750001E-07
0.48,-0.0575,9.267109375000001E-07
0.5,-0.05125,9.312275390625E-07
0.52,-0.03875,9.497822265625001E-07
0.54,-0.0325,9.652851562500001E-07
0.56,-0.05125,9.685810546875E-07
0.58,-0.0675,9.867226562500001E-07
0.6,-0.07,9.9165234375E-07
0.62,-0.04875,9.964501953125E-07
0.64,-0.01625,1.0841494140625E-06
0.66,0.005,1.244337890625E-06
0.68,0.02,1.421982421875E-06
0.7,0.03,1.5758808593749998E-06
0.72,0.03125,1.5972978515625E-06
0.74,0.0425,1.8134296875E-06
0.76,0.065,2.385228515625E-06
0.78,0.07875,2.8380869140624998E-06
0.8,0.07,2.838421875E-06
0.82,0.04625,2.8552509765625E-06
0.84,0.01875,2.9460869140625E-06
0.86,-0.015,3.25007421875E-06
0.88,-0.0325,3.526533203125E-06
0.9,-0.03625,3.5985244140625E-06
0.92,-0.03,3.598646484375E-06
0.94,-0.01625,3.6025244140624997E-06
0.96,0.00375,3.6305244140624997E-06
0.98,0.01875,3.6817119140624997E-06
1,0.01875,3.6817119140624997E-06
1.02,0.02625,3.7205947265625E-06
1.04,0.03625,3.7890634765624997E-06
1.06,0.01625,3.7930634765624996E-06
1.08,-0.01,3.838529296875E-06
1.1,-0.02125,3.884118164062499E-06
1.12,-0.01125,3.8846181640624995E-06
1.14,-0.00625,3.8858056640624995E-06
1.16,0.0025,3.89081640625E-06
1.18,0.00875,3.8976181640625E-06
1.2,0.00375,3.897680664062499E-06
1.22,-0.00375,3.898594726562499E-06
1.24,-0.0125,3.902416015625E-06
1.26,-0.01625,3.905430664062499E-06
1.28,-0.0275,3.94560546875E-06
1.3,-0.05125,4.3446650390625E-06
1.32,-0.06625,4.770477539062501E-06
1.34,-0.055,4.771189453125001E-06
1.36,-0.045,4.775275390625001E-06
1.38,-0.04,4.779521484375001E-06
1.4,-0.03,4.794294921875001E-06
1.42,-0.0025,4.90001953125E-06
1.44,0.04125,5.3916259765625006E-06
1.46,0.04375,5.4359775390625E-06
1.48,0.02875,5.4376650390625E-06
1.5,0.0075,5.459794921875001E-06
1.52,-0.0025,5.485443359375E-06
1.54,0,5.4854511718750005E-06
1.56,0.00875,5.486155273437501E-06
1.58,0.01875,5.4902412109375E-06
1.6,0.02125,5.492141601562501E-06
1.62,0.02125,5.492141601562501E-06
1.64,0.0325,5.506880859375E-06
1.66,0.04625,5.5813232421875005E-06
1.68,0.0575,5.816966796875001E-06
1.7,0.09,6.829281250000003E-06
1.72,0.11,7.762203125000001E-06
1.74,0.105,7.762265625000002E-06
1.76,0.09625,7.763502929687501E-06
1.78,0.0825,7.772601562500001E-06
1.8,0.0525,7.857257812500001E-06
1.82,0.0525,7.857257812500001E-06
1.84,0.06875,7.859403320312502E-06
1.86,0.0925,7.889257812500002E-06
1.88,0.08125,7.889969726562501E-06
1.9,0.05375,7.918350585937501E-06
1.92,0.025,8.133265625E-06
1.94,0.02375,8.147012695312502E-06
1.96,0.03,8.147134765625002E-06
1.98,0.035,8.147724609375E-06
2,0.06,8.170830078125002E-06
2.02,0.0725,8.20494140625E-06
2.04,0.09125,8.300786132812501E-06
2.06,0.10625,8.4277705078125E-06
2.08,0.07625,8.441270507812501E-06
2.1,0.03625,8.5992705078125E-06
2.12,0.0025,9.0088671875E-06
2.14,-0.0075,9.198835937500001E-06
2.16,-0.01625,9.393872070312501E-06
2.18,-0.02875,9.723295898437502E-06
2.2,-0.0275,9.723296875000001E-06
2.22,-0.02125,9.723506835937502E-06
2.24,-0.01625,9.724272460937503E-06
2.26,-0.0325,9.836492187500002E-06
2.28,-0.065,1.1069359375E-05
2.3,-0.115,1.4084984375000001E-05
2.32,-0.13875,1.6085569335937505E-05
2.34,-0.1225,1.6087714843750004E-05
2.36,-0.09625,1.61239521484375E-05
2.38,-0.04375,1.6514256835937505E-05
2.4,-0.00375,1.7315756835937504E-05
2.42,0.00125,1.7457569335937504E-05
2.44,0.00375,1.7532389648437502E-05
2.46,0.0175,1.7992917968750005E-05
2.48,0.0325,1.8596656250000003E-05
2.5,0.09375,2.2369608398437504E-05
2.52,0.12625,2.5390381835937505E-05
2.54,0.12875,2.5656217773437507E-05
2.56,0.11,2.5659513671875007E-05
2.58,0.10875,2.5660217773437506E-05
2.6,0.10875,2.5660217773437506E-05
2.62,0.1025,2.5665261718750004E-05
2.64,0.095,2.5675439453125007E-05
2.66,0.0625,2.5801605468750006E-05
2.68,0.025,2.6214603515625004E-05
2.7,-0.0125,2.7065296875000006E-05
2.72,-0.0325,2.7752593750000007E-05
2.74,-0.0475,2.839373828125001E-05
2.76,-0.0625,2.9153851562500006E-05
2.78,-0.07875,3.0123303710937506E-05
2.8,-0.07125,3.012351464843751E-05
2.82,-0.0625,3.0125449218750008E-05
2.84,-0.05125,3.0133702148437508E-05
2.86,-0.02,3.022469335937501E-05
2.88,0.00625,3.043036621093751E-05
2.9,0.01,3.0472826171875008E-05
2.92,0.00375,3.0472948242187508E-05
2.94,-0.02125,3.0488084960937506E-05
2.96,-0.05875,3.063530175781251E-05
2.98,-0.0875,3.1411626953125E-05
3,-0.0775,3.1412126953125004E-05
3.02,-0.0725,3.1413314453125E-05
3.04,-0.06875,3.14149228515625E-05
3.06,-0.0625,3.1419439453125004E-05
3.08,-0.03875,3.14695556640625E-05
3.1,-0.03125,3.150061621093751E-05
3.12,-0.065,3.1519837890625E-05
3.14,-0.1025,3.271646875000001E-05
3.16,-0.12125,3.434574121093751E-05
3.18,-0.11,3.4346453125000005E-05
3.2,-0.07875,3.4384124023437504E-05
3.22,-0.0425,3.4589927734375E-05
3.24,-0.04125,3.4601741210937506E-05
3.26,-0.05375,3.460271777343751E-05
3.28,-0.05125,3.46027255859375E-05
3.3,-0.04,3.461588281250001E-05
3.32,-0.035,3.4668503906250007E-05
3.34,-0.035,3.4668503906250007E-05
3.36,-0.035,3.4668503906250007E-05
3.38,-0.025,3.479352734375001E-05
3.4,-0.02,3.486667968750001E-05
3.42,-0.04,3.4870679687500005E-05
3.44,-0.04,3.4870679687500005E-05
3.46,-0.0325,3.487089062500001E-05
3.48,-0.015,3.4955425781250006E-05
3.5,-0.0025,3.5192974609375007E-05
3.52,0.01375,3.55858818359375E-05
3.54,0.06125,3.739488964843751E-05
3.56,0.09875,3.9679694335937505E-05
3.58,0.105,4.014645703125001E-05
3.6,0.08,4.015426953125E-05
3.62,0.05125,4.02241005859375E-05
3.64,0.03625,4.0308932617187505E-05
3.66,0.0475,4.030964453125001E-05
3.68,0.07375,4.0335299804687504E-05
3.7,0.115,4.1273681640625E-05
3.72,0.15125,4.511699707031251E-05
3.74,0.1575,4.592254882812501E-05
3.76,0.1325,4.5930361328125E-05
3.78,0.0675,4.6287048828125E-05
3.8,0.00625,4.7652588867187506E-05
3.82,-0.0125,4.837904882812501E-05
3.84,-0.03375,4.94201826171875E-05
3.86,-0.02875,4.9420245117187504E-05
3.88,-0.00125,4.94373466796875E-05
3.9,0.03125,4.9557495117187504E-05
3.92,0.05625,4.97846826171875E-05
3.94,0.0625,4.9866015625000005E-05
3.96,0.05625,4.98661376953125E-05
3.98,0.0575,4.9866138671875E-05
4,0.06125,4.98662001953125E-05
4.02,0.04625,4.98682861328125E-05
4.04,0.01125,4.993344628906251E-05
