,,,,,,,上フランジ,,,,骨格曲線累積塑性歪,,下フランジ,,,,骨格曲線累積塑性歪,
Step,載荷Q,根元M,部材θ,累積変形角,θ(危険断面),M(危険断面),εn,σn ,εt,σt,Σεpt,Σεpst+,εn,σn,εt,σt,Σεpt,Σεpst+
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
20,186500,395.59574140691234,0.0021595148296031596,0.0021595148296031596,2.771720625527754E-06,391.8657414069123,-0.0007891088620877525,-161.76731672798937,-0.0007894203723736291,-161.63966470476316,0,0,0.0007891088620877517,161.76731672798917,0.0007887976793835305,161.89496875121537,0,0
40,249500,524.1643573641594,0.0028551970617444467,0.0028551970617444467,3.672192086465393E-06,519.1743573641594,-0.0010454730870166993,-214.32198283842325,-0.0010460199752090693,-214.09791497340962,0,0,0.0010454730870166984,214.32198283842305,0.001044926960635942,214.54605070343666,0,0
60,268900,563.7239315048511,0.0030692134386901856,0.0030692134386901856,3.949258051942081E-06,558.3459315048511,-0.0011243537673879139,-230.49252231452192,-0.0011249863272769216,-230.23336717870285,0,0,0.001124353767387913,230.49252231452172,0.001123722155083617,230.7516774503408,0,0
80,288300,603.2835056455428,0.003283229815635927,0.003283229815635927,4.226324017418766E-06,597.5175056455429,-0.0012032344477591285,-246.6630617906206,-0.0012039589155219844,-246.36626829768437,0,0,0.0012032344477591276,246.6630617906204,0.0012025111413375747,246.95985528355658,0,0
100,307700,642.8430797862346,0.0034972461925816675,0.0034972461925816675,4.503389982895451E-06,636.6890797862346,-0.001282115128130343,-262.8336012667193,-0.0012829377409293093,-262.4966183303543,0,0,0.0012821151281303422,262.83360126671914,0.0012812939203764562,263.17058420308416,0,0
120,327100,682.4026539269264,0.0037112625695274086,0.0037112625695274086,4.780455948372136E-06,675.8606539269265,-0.0013609958085015576,-279.00414074281815,-0.0013619228044841817,-278.6244172767126,0,0,0.0013609958085015568,279.004140742818,0.0013600704931777845,279.3838642089235,0,0
140,346500,721.9622280676181,0.003925278946473149,0.003925278946473149,5.0575219138488215E-06,715.0322280676181,-0.0014398764888727722,-295.174680218917,-0.0014409141071721205,-294.74966513675923,0,0,0.0014398764888727713,295.1746802189168,0.001438840860719738,295.5996953010746,0,0
160,365900,761.5218022083099,0.004139295323418888,0.004139295323418888,5.334587879325507E-06,754.2038022083099,-0.0015187571692439868,-311.3452196950158,-0.001519911649978878,-310.8723619104942,0,0,0.001518757169243986,311.34521969501566,0.0015176050239793775,311.8180774795373,0,0
180,385300,801.0813763490016,0.004353311700364628,0.004353311700364628,5.611653844802192E-06,793.3753763490016,-0.0015976378496152014,-327.51575917111467,-0.0015989154338904403,-326.99250759791744,0,0,0.0015976378496152005,327.5157591711145,0.0015963629839344197,328.0390107443117,0,0
200,404700,840.6409504896934,0.004582637724986641,0.004582637724986641,6.406948696187097E-06,832.5469151508356,-0.001819756611307863,-348.5543135995671,-0.001821414379832145,-347.9200295829944,0.00012020079011046641,0,0.0018283599763011045,346.293483286484,0.0018266905607516627,346.9266324313789,0.00013897424596730516,0.00013897424596730516
220,424000,880.2005246303852,0.004838594808794795,0.004838594808794795,8.096764176843386E-06,871.7204785962272,-0.0022997871893443993,-348.9624066777103,-0.002302435761449893,-348.1598674052701,0.0006012221717282143,0,0.00231051033295026,346.3610682264509,0.0023078452083599705,347.1613390535198,0.000620128893575613,0.000620128893575613
240,443400,919.7600987710769,0.005123762501489688,0.005123762501489688,1.0291566977318328E-05,910.892010033441,-0.002920968683523926,-349.49049776116226,-0.0029252430380820272,-348.46964696201275,0.0012240294483603486,0,0.0029390495533611624,346.44917307775404,0.002934738991127974,347.46740436515057,0.0012470226763436165,0.0012470226763436165
260,462800,959.3196729117686,0.005582037329947676,0.005582037329947676,1.6173494433272308E-05,950.0633874274273,-0.004578032566469832,-350.89923364510827,-0.004588543850495544,-349.29280552593167,0.0028873302607738656,0,0.004631155163835457,346.68636227511655,0.004620464359235833,348.29192061199825,0.0029327480444514757,0.0029327480444514757
280,478600,991.4618269010808,0.006476597012879415,0.006476597012879415,3.683382025382519E-05,981.8881509600233,-0.01034128224232246,-365.93714693765105,-0.010395124824087203,-362.1528876182186,0.008693911234365526,0,0.010631895010205651,350.18408680661315,0.010575773846881728,353.9072072517858,0.00888805753209737,0.00888805753209737
