Step,載荷Q,根元M,部材θ,累積変形角
0,0,0,0,0
20,186500,395.59574140691234,0.0021595148296031596,0.0021595148296031596
40,249500,524.1643573641594,0.0028551970617444467,0.0028551970617444467
60,268900,563.7239315048511,0.0030692134386901856,0.0030692134386901856
80,288300,603.2835056455428,0.003283229815635927,0.003283229815635927
100,307700,642.8430797862346,0.0034972461925816675,0.0034972461925816675
120,327100,682.4026539269264,0.0037112625695274086,0.0037112625695274086
140,346500,721.9622280676181,0.003925278946473149,0.003925278946473149
160,365900,761.5218022083099,0.004139295323418888,0.004139295323418888
180,385300,801.0813763490016,0.004353311700364628,0.004353311700364628
200,404700,840.6409504896934,0.004582637724986641,0.004582637724986641
220,424000,880.2005246303852,0.004838594808794795,0.004838594808794795
240,443400,919.7600987710769,0.005123762501489688,0.005123762501489688
260,462800,959.3196729117686,0.005582037329947676,0.005582037329947676
280,478600,991.4618269010808,0.006476597012879415,0.006476597012879415
300,483400,1001.3517204362537,0.006762215351826697,0.006762215351826697
320,488300,1011.2416139714267,0.006983579197381793,0.006983579197381793
340,493100,1021.1315075065995,0.007197199087243979,0.007197199087243979
360,498000,1031.0214010417724,0.007425807990527489,0.007425807990527489
380,502800,1040.9112945769455,0.007674698634721478,0.007674698634721478
400,507700,1050.8011881121183,0.007952651189006548,0.007952651189006548
420,512500,1060.6910816472914,0.008276587313494456,0.008276587313494456
440,517400,1070.5809751824643,0.0086747324994666,0.0086747324994666
460,522200,1080.4708687176355,0.009217835268138165,0.009217835268138165
480,527100,1090.3607622528061,0.009954603572122644,0.009954603572122644
500,531900,1100.2506557879767,0.010768004274245492,0.010768004274245492
520,536800,1110.1405493231473,0.011609883688834933,0.011609883688834933
540,541600,1120.0304428583179,0.01249879434932165,0.01249879434932165
560,546400,1129.9203363934882,0.013422120103539645,0.013422120103539645
580,551300,1139.810229928659,0.014363743647911903,0.014363743647911903
600,556100,1149.7001234638294,0.015351329777597584,0.015351329777597584
618,560500,1158.6010276454829,0.01627682579756028,0.01627682579756028
620,560500,1157.612038291966,0.016217656909156115,0.016335994685964448
640,560500,1147.7221447567954,0.01615163330809309,0.01640201828702747
