Period[s],DRS L1,DRS L2,Taft L1,Taft L2,El Centro L1,El Centro L2,Hachinohe L1,Hachinohe L2
2.00E-02,0.241915513,1.209577567,0.790505,1.58101,0.812888,1.62574,0.530646,1.06132
2.04E-02,0.247814725,1.239073626,0.808768,1.61754,0.829016,1.658,0.542089,1.08421
2.08E-02,0.253875129,1.269375645,0.826294,1.65259,0.845076,1.69012,0.552641,1.10532
2.13E-02,0.260098937,1.300494687,0.84284,1.68568,0.861927,1.72382,0.559879,1.11979
2.17E-02,0.266488409,1.332442043,0.859924,1.71985,0.879769,1.7595,0.563613,1.12726
2.22E-02,0.273045848,1.36522924,0.879778,1.75956,0.898448,1.79686,0.569683,1.1394
2.27E-02,0.27978812,1.398940598,0.902045,1.8041,0.917342,1.83465,0.584735,1.16947
2.31E-02,0.286717893,1.433589466,0.922576,1.84516,0.937759,1.87548,0.604453,1.2089
0.023618,0.293837897,1.469189483,0.939282,1.87857,0.958267,1.91649,0.622389,1.24477
0.024114,0.301150914,1.50575457,0.954853,1.90971,0.979436,1.95883,0.640252,1.28054
0.02462,0.308659787,1.543298936,0.971664,1.94333,1.00197,2.00389,0.658427,1.3169
0.025138,0.316397389,1.581986945,0.990354,1.98071,1.02395,2.04784,0.674839,1.34972
0.025666,0.324337105,1.621685526,1.01065,2.02131,1.0466,2.09314,0.688628,1.3773
0.026204,0.332481961,1.662409803,1.03178,2.06357,1.0683,2.13655,0.69821,1.39647
0.026755,0.340880924,1.704404621,1.05365,2.10731,1.09216,2.18426,0.706322,1.41269
0.027317,0.349507294,1.747536469,1.07628,2.15258,1.11634,2.2326,0.717446,1.43494
0.02789,0.358364611,1.791823056,1.10032,2.20065,1.13824,2.27642,0.730831,1.46172
0.028476,0.367487736,1.837438682,1.12361,2.24723,1.16232,2.32458,0.743884,1.48783
0.029074,0.376865295,1.884326476,1.14522,2.29046,1.18587,2.37167,0.760154,1.52029
0.029685,0.386517255,1.932586273,1.16947,2.33894,1.21008,2.42009,0.782781,1.56553
0.030308,0.396432191,1.982160955,1.1969,2.39379,1.23856,2.47705,0.807339,1.61463
0.030945,0.40664658,2.033232899,1.22553,2.45104,1.26402,2.52797,0.829235,1.65843
0.031595,0.41714931,2.08574655,1.25357,2.50713,1.28856,2.57708,0.845295,1.69056
0.032258,0.427945223,2.139726116,1.27946,2.5589,1.31986,2.63967,0.857959,1.71589
0.032936,0.43907221,2.195361049,1.3049,2.6098,1.35163,2.70322,0.877751,1.75555
0.033628,0.450519488,2.252597442,1.33272,2.66545,1.37961,2.75918,0.902991,1.80601
0.034334,0.46229261,2.311463049,1.36203,2.72408,1.41071,2.8214,0.930557,1.86114
0.035055,0.474414118,2.372070589,1.3916,2.78322,1.44507,2.89014,0.957183,1.9144
0.035791,0.486890209,2.434451046,1.42373,2.84749,1.47941,2.95885,0.978577,1.95719
0.036543,0.499744374,2.498721871,1.45836,2.91676,1.51362,3.02729,0.996337,1.99271
0.03731,0.512966195,2.564830975,1.49085,2.98174,1.54478,3.08963,1.01485,2.02975
0.038094,0.526597186,2.63298593,1.51953,3.03908,1.572,3.14406,1.0339,2.06786
0.038894,0.540627369,2.703136845,1.54566,3.09132,1.59633,3.19266,1.04924,2.09854
0.039711,0.555081848,2.775409241,1.57131,3.14262,1.6178,3.23554,1.0583,2.11665
0.040545,0.569968581,2.849842906,1.59726,3.19452,1.63848,3.27686,1.07646,2.15292
0.041396,0.585295692,2.926478458,1.62277,3.24553,1.65959,3.319,1.11219,2.22438
0.042266,0.601107984,3.00553992,1.64936,3.2987,1.68379,3.36735,1.14233,2.28465
0.043154,0.617396502,3.08698251,1.67968,3.35932,1.71063,3.421,1.16921,2.33841
0.04406,0.634170403,3.170852016,1.71662,3.43317,1.7437,3.48715,1.19818,2.39635
0.044985,0.651457809,3.257289046,1.76073,3.52138,1.79633,3.59252,1.22905,2.45809
0.04593,0.669287747,3.346438736,1.80489,3.60971,1.90063,3.80109,1.25475,2.5095
0.046895,0.687671046,3.438355232,1.84304,3.68604,2.00121,4.00224,1.28521,2.57037
0.04788,0.706618765,3.533093823,1.88072,3.76142,2.10277,4.20535,1.30836,2.61661
0.048885,0.726142189,3.630710947,1.92352,3.84701,2.20625,4.41233,1.32581,2.65147
0.049912,0.746292273,3.731461366,1.9689,3.93776,2.29432,4.58846,1.34454,2.68895
0.05096,0.767062043,3.835310216,2.01095,4.02191,2.36402,4.72787,1.36865,2.73724
0.05203,0.788484232,3.942421159,2.0445,4.08905,2.44346,4.88677,1.40218,2.80433
0.053123,0.810592658,4.052963289,2.07593,4.1518,2.5425,5.08487,1.43804,2.87604
0.054239,0.833401725,4.167008624,2.12297,4.2459,2.63063,5.26117,1.46635,2.93284
0.055378,0.85692614,4.284630699,2.16321,4.3264,2.67906,5.35806,1.52924,3.05859
0.056541,0.881201896,4.406009482,2.21836,4.43684,2.70052,5.40102,1.60145,3.20295
0.057728,0.906244988,4.531224938,2.27813,4.55633,2.7512,5.50245,1.66971,3.3394
0.058941,0.932114621,4.660573103,2.3389,4.67779,2.84845,5.69697,1.71578,3.43147
0.060179,0.958807186,4.794035931,2.40378,4.80748,2.93458,5.86919,1.74375,3.48737
0.061443,0.986362338,4.93181169,2.47367,4.94723,3.28034,6.56076,1.76354,3.5269
0.062733,1.014798906,5.073994528,2.54859,5.0971,3.64089,7.28182,1.77988,3.55958
0.06405,1.044158525,5.220792623,2.59883,5.19759,3.84737,7.69476,1.79342,3.58672
0.065396,1.07450692,5.372534598,2.7017,5.40353,3.91766,7.83536,1.80447,3.60888
0.066769,1.105820579,5.529102897,2.77208,5.54432,3.83911,7.67827,1.82268,3.64536
0.068172,1.138190361,5.690951803,2.80079,5.60176,3.64091,7.28183,1.85726,3.71457
0.069603,1.17159342,5.857967102,2.81401,5.62823,3.54358,7.08729,1.90272,3.80555
0.071065,1.20612399,6.030619952,2.8548,5.70979,3.62244,7.24495,1.94899,3.89812
0.072558,1.241808038,6.20904019,2.93118,5.86251,3.75377,7.50758,1.99422,3.98862
0.074081,1.278647747,6.393238735,3.04223,6.08458,3.90045,7.80092,2.05815,4.11648
0.075637,1.316743189,6.583715947,3.17523,6.35053,4.03197,8.06388,2.14066,4.28149
0.077226,1.356123786,6.780618929,3.25758,6.51511,4.51217,9.02435,2.21667,4.43345
0.078848,1.39681958,6.9840979,3.28761,6.57508,5.08698,10.1739,2.28324,4.5667
0.080504,1.438886801,7.194434007,3.33262,6.66506,5.49819,10.9962,2.43372,4.86766
0.082194,1.48235771,7.411788549,3.45231,6.90447,5.68538,11.3706,2.56496,5.13011
0.083921,1.527343867,7.636719335,3.60227,7.20441,5.73664,11.4732,2.63835,5.27687
0.085683,1.573828784,7.869143921,3.71322,7.42629,5.71238,11.4247,2.63479,5.26974
0.087483,1.621928477,8.109642383,3.77331,7.54643,5.52487,11.0497,2.55917,5.11847
0.08932,1.671654889,8.358274447,3.8145,7.62878,5.09954,10.1991,2.58827,5.17671
0.091196,1.723102172,8.61551086,3.87086,7.74153,5.45336,10.9066,2.64646,5.29319
0.093111,1.776312244,8.88156122,3.96231,7.92452,5.54164,11.0831,2.71235,5.425
0.095067,1.831384581,9.156922907,4.14612,8.29226,5.4776,10.955,2.7611,5.52245
0.097064,1.888365133,9.441825664,4.3802,8.76053,6.1206,12.2407,2.79681,5.59375
0.099102,1.947300811,9.736504053,4.64163,9.28373,6.5746,13.1487,2.83575,5.67158
0.101183,2.00829851,10.04149255,4.90135,9.80309,6.47349,12.9466,2.85121,5.70252
0.103308,2.071439418,10.35719709,5.16083,10.322,6.57051,13.141,2.88183,5.76375
0.105478,2.136807437,10.68403718,5.32283,10.6459,6.95279,13.9057,2.99085,5.98171
0.107693,2.204458515,11.02229257,5.33509,10.6702,7.15714,14.3144,3.12776,6.2554
0.109955,2.274512133,11.37256066,5.73037,11.4607,7.13288,14.2659,3.29516,6.5901
0.112264,2.347029205,11.73514603,6.10048,12.2009,6.98733,13.9749,3.50561,7.01091
0.114622,2.422136064,12.11068032,6.11887,12.2377,7.60818,15.2167,3.69612,7.39185
0.11703,2.499931448,12.49965724,5.74468,11.4892,8.21838,16.4371,3.8407,7.68096
0.119487,2.580451333,12.90225667,5.78831,11.5764,8.72973,17.4599,3.93414,7.86786
0.121997,2.663898642,13.31949321,5.72743,11.4551,9.31015,18.6207,3.98395,7.96769
0.124559,2.750315619,13.7515781,5.79932,11.599,9.89985,19.8001,4.04664,8.0931
0.127175,2.839847546,14.19923773,6.19064,12.3816,10.9483,21.8967,4.13257,8.26508
0.129846,2.932610345,14.66305172,7.22106,14.4423,11.6743,23.3487,4.2962,8.59249
0.132573,3.028723691,15.14361846,7.99418,15.9885,11.6726,23.3454,4.32321,8.64661
0.135357,3.128311121,15.6415556,8.08256,16.1653,11.5548,23.1098,4.17798,8.35614
0.1382,3.231536714,16.15768357,7.61521,15.2306,11.833,23.6661,4.33428,8.66836
0.141103,3.338533712,16.69266856,7.78894,15.5778,11.1759,22.3518,5.00214,10.0039
0.144066,3.449401912,17.24700956,8.23592,16.4719,10.1084,20.2167,5.5494,11.0983
0.147092,3.56435801,17.82179005,8.85285,17.7057,10.2121,20.4242,5.92208,11.8438
0.150181,3.683511233,18.41755616,10.2547,20.5096,9.84591,19.6917,5.94686,11.8934
0.153335,3.807052023,19.03526012,10.9188,21.8379,9.38874,18.7774,5.61433,11.2283
0.156556,3.935178014,19.67589007,11.8917,23.7833,9.49856,18.9972,5.91017,11.82
0.159844,4.068012855,20.34006428,12.2487,24.4977,9.97445,19.9489,6.1412,12.2821
0.163201,4.155879339,20.77939669,13.839,27.6784,11.4135,22.827,6.66889,13.3374
0.166628,4.243147177,21.21573589,14.5326,29.0654,13.2373,26.4745,7.14751,14.2946
0.170128,4.332273945,21.66136973,14.6791,29.3581,14.1628,28.3255,7.60138,15.2023
0.173701,4.423259643,22.11629822,15.0129,30.0256,14.5109,29.0215,8.36962,16.7387
0.177349,4.5161552,22.580776,14.7859,29.5716,14.5729,29.1456,9.28873,18.5769
0.181074,4.611011546,23.05505773,15.1088,30.2173,15.0843,30.1683,9.92114,19.8418
0.184877,4.707854146,23.53927073,15.3879,30.7756,14.9866,29.9728,10.1507,20.3011
0.188759,4.806708464,24.03354232,15.5483,31.0961,14.5769,29.1534,10.2675,20.5347
0.192724,4.90767636,24.5383818,16.2448,32.4893,14.3146,28.6291,10.6815,21.363
0.196771,5.010732369,25.05366185,17.8806,35.7612,14.947,29.8938,11.6515,23.3031
0.200904,5.11597835,25.57989175,18.9701,37.94,15.251,30.5015,13.2427,26.4855
0.205123,5.223414303,26.11707151,19.7663,39.5324,16.0366,32.0725,15.4025,30.8051
0.209432,5.333142087,26.66571043,20.0522,40.1042,16.4316,32.8626,17.2598,34.5197
0.21383,5.445136237,27.22568119,20.4284,40.8569,16.6382,33.276,18.1651,36.3302
0.218321,5.559498613,27.79749306,21.4167,42.8328,16.9279,33.8554,19.5306,39.0614
0.222906,5.676254679,28.3812734,21.5684,43.1363,17.5592,35.1179,19.8652,39.7306
0.227588,5.79548083,28.97740415,21.2419,42.4832,19.0616,38.1228,19.5594,39.1191
0.232367,5.917177066,29.58588533,21.9623,43.9243,20.9904,41.9803,18.8938,37.7881
0.237248,6.04147071,30.20735355,22.188,44.3754,23.0618,46.123,17.579,35.1585
0.24223,6.168336298,30.84168149,21.475,42.9498,24.7698,49.5391,16.4425,32.8853
0.247318,6.297901154,31.48950577,20.219,40.438,25.5755,51.1507,15.8618,31.7238
0.252512,6.430165278,32.15082639,19.9729,39.9458,27.2402,54.48,15.2296,30.4592
