,B,C,D,E,F
1,data5-B1,data5-C1,data5-D1,data5-E1,data5-F1
2,data5-B2,data5-C2,data5-D2,data5-E2,data5-F2
3,data5-B3,data5-C3,data5-D3,data5-E3,data5-F3
4,data5-B4,data5-C4,data5-D4,data5-E4,data5-F4
5,data5-B5,data5-C5,data5-D5,data5-E5,data5-F5
6,data5-B6,data5-C6,data5-D6,data5-E6,data5-F6
7,data5-B7,data5-C7,data5-D7,data5-E7,data5-F7
8,data5-B8,data5-C8,data5-D8,data5-E8,data5-F8
9,data5-B9,data5-C9,data5-D9,data5-E9,data5-F9
10,data5-B10,data5-C10,data5-D10,data5-E10,data5-F10
11,data5-B11,data5-C11,data5-D11,data5-E11,data5-F11
12,data5-B12,data5-C12,data5-D12,data5-E12,data5-F12
13,data5-B13,data5-C13,data5-D13,data5-E13,data5-F13
14,data5-B14,data5-C14,data5-D14,data5-E14,data5-F14
15,data5-B15,data5-C15,data5-D15,data5-E15,data5-F15
16,data5-B16,data5-C16,data5-D16,data5-E16,data5-F16
17,data5-B17,data5-C17,data5-D17,data5-E17,data5-F17
18,data5-B18,data5-C18,data5-D18,data5-E18,data5-F18
19,data5-B19,data5-C19,data5-D19,data5-E19,data5-F19
20,data5-B20,data5-C20,data5-D20,data5-E20,data5-F20
