,data1,data2,data3,data4,data5,data6,data7,data8,data9,data10,data11
,D,D,D,D,D,D,D,D,D,D,D
1,data1-D1,data2-D1,data3-D1,data4-D1,data5-D1,6,7,8,9,10,11
2,data1-D2,data2-D2,data3-D2,data4-D2,data5-D2,6,7,8,9,10,11
3,data1-D3,data2-D3,data3-D3,data4-D3,data5-D3,6,7,8,9,10,11
4,data1-D4,data2-D4,data3-D4,data4-D4,data5-D4,6,7,8,9,10,11
5,data1-D5,data2-D5,data3-D5,data4-D5,data5-D5,6,7,8,9,10,11
6,data1-D6,data2-D6,data3-D6,data4-D6,data5-D6,6,7,8,9,10,11
7,data1-D7,data2-D7,data3-D7,data4-D7,data5-D7,6,7,8,9,10,11
8,data1-D8,data2-D8,data3-D8,data4-D8,data5-D8,6,7,8,9,10,11
9,data1-D9,data2-D9,data3-D9,data4-D9,data5-D9,6,7,8,9,10,11
10,data1-D10,data2-D10,data3-D10,data4-D10,data5-D10,6,7,8,9,10,11
11,data1-D11,data2-D11,data3-D11,data4-D11,data5-D11,6,7,8,9,10,11
12,data1-D12,data2-D12,data3-D12,data4-D12,data5-D12,6,7,8,9,10,11
13,data1-D13,data2-D13,data3-D13,data4-D13,data5-D13,6,7,8,9,10,11
14,data1-D14,data2-D14,data3-D14,data4-D14,data5-D14,6,7,8,9,10,11
15,data1-D15,data2-D15,data3-D15,data4-D15,data5-D15,6,7,8,9,10,11
16,data1-D16,data2-D16,data3-D16,data4-D16,data5-D16,6,7,8,9,10,11
17,data1-D17,data2-D17,data3-D17,data4-D17,data5-D17,6,7,8,9,10,11
18,data1-D18,data2-D18,data3-D18,data4-D18,data5-D18,6,7,8,9,10,11
19,data1-D19,data2-D19,data3-D19,data4-D19,data5-D19,6,7,8,9,10,11
20,data1-D20,data2-D20,data3-D20,data4-D20,data5-D20,6,7,8,9,10,11
